"name","start time","end time","playtime","deck","notes","artist"
"8/30/25","8/30/25, 7:52:54 PM EDT","9/2/25, 9:31:08 PM EDT","73:38:14","","",""
"Mr JazziQ, Kay Invictus, M.J - Halala (Official Audio) ft. Mellow & Sleazy","7:52:54 PM EDT","7:55:31 PM EDT","00:02:37","2","","BlackIsBrownVEVO"
"SLOW FAST OUTURMIND","7:55:31 PM EDT","8:00:01 PM EDT","00:04:30","2","","byebem"
"AKARA","7:56:46 PM EDT","7:58:14 PM EDT","00:01:28","1","","byebem"
"Blow - Wizkid, Blaqjerzee","7:58:14 PM EDT","8:01:30 PM EDT","00:03:16","1","","AfroBeatsPlug"
"Mistaken","8:00:01 PM EDT","8:02:21 PM EDT","00:02:20","2","","Libianca"
"Crazy Tings","8:01:30 PM EDT","8:03:55 PM EDT","00:02:25","1","","Tems"
"Mighty Wine","8:02:21 PM EDT","8:05:49 PM EDT","00:03:28","2","","WizKid"
"chance-&-turn-bypidz","8:03:55 PM EDT","8:07:37 PM EDT","00:03:42","1","","Pidz"
"Princess Told U","8:05:49 PM EDT","8:09:07 PM EDT","00:03:18","2","","thanksamara"
"Promiscuous","8:07:37 PM EDT","8:10:53 PM EDT","00:03:16","1","","DJ TUNEZ"
"How We Roll Ampiano Remix ｜ Amapiano 2024 [Yo_LLgVN9cc]","8:09:07 PM EDT","8:12:59 PM EDT","00:03:52","2","","Ciara , Chris Brown ft Major League Djz & Yumbs"
"ART","8:10:53 PM EDT","8:14:06 PM EDT","00:03:13","1","","Tyla"
"Shake","8:12:59 PM EDT","8:16:20 PM EDT","00:03:21","2","","8syn"
"WHICH ONE X 1ER GAOU - DJ NOON REMIX","8:14:06 PM EDT","8:17:46 PM EDT","00:03:40","1","","NOON"
"SHABBA MADDA POT X LIBERIAN GIRL (REMIX) BY DJ EMZ [niE_dt73a0I]","8:16:20 PM EDT","8:19:01 PM EDT","00:02:41","2","",""
"Laho II","8:17:46 PM EDT","8:21:12 PM EDT","00:03:26","1","","Shallipopi"
"Shallipopi - Laho(NDLOH JNR'S TOUCH).mp3","8:19:01 PM EDT","8:22:35 PM EDT","00:03:34","2","","Liloy Chale Chale"
"Dlala Thukzin - iPlan ft Zaba & Sykes | Official Audio","8:21:12 PM EDT","8:23:54 PM EDT","00:02:42","1","","Virgin Music Group South Africa"
"Isaka (6am)","8:22:35 PM EDT","8:25:30 PM EDT","00:02:55","2","","CIZA"
"Vuka","8:23:54 PM EDT","8:28:10 PM EDT","00:04:16","1","",""
"UYAH! (feat. 2wo Bunnies, Jay Music, & Imbongi Yosizi)","8:25:30 PM EDT","8:29:41 PM EDT","00:04:11","2","","Uncle Waffles"
"Wadibusa - Uncle Waffles & Royal Musiq ft. Ohp Sage & Pcee (Official Visualizer)","8:28:10 PM EDT","8:31:31 PM EDT","00:03:21","1","","Uncle Waffles"
"BAPHI (feat. Royal MusiQ, Mark Khoza, CowBoii, & Uncool MC)","8:29:53 PM EDT","8:33:18 PM EDT","00:03:25","2","","Uncle Waffles"
"Manzi Nte (Official Audio)","8:31:31 PM EDT","8:34:11 PM EDT","00:02:40","1","","TylerICUVEVO"
"Kautaka - JAIVAH - Kautaka (JFS Music ft KingTone SA) Official Music Video","8:33:18 PM EDT","8:35:30 PM EDT","00:02:12","2","","JAIVAH"
"Ngibolekeni - Dj Maphorisa, Xduppy & Scotts Maphuma - Ngibolekeni (Official Audio) feat. Seun1401 & LeeMcKrazy","8:34:11 PM EDT","8:37:52 PM EDT","00:03:41","1","","Mainstream Maroba"
"Jealousy - Khalil Harrison, Tyler ICU -ft. Leemckrazy, Ceeka RSA","8:35:30 PM EDT","8:42:42 PM EDT","00:07:12","2","","KhalilHarrisonVEVO"
"Shoulder","8:39:34 PM EDT","8:43:47 PM EDT","00:04:13","1","","Medikal"
"Do the Dance [0LgngimlmvM]","8:42:42 PM EDT","8:44:40 PM EDT","00:01:58","2","",""
"U Go Kill Me (feat. El) [pznje9Y5dE8]","8:43:47 PM EDT","8:45:51 PM EDT","00:02:04","1","","Sarkodie"
